1.973483587494505587e-01,7.521972678664979872e-01
4.864898587265865659e-01,8.309368101295619979e-01
1.166522166818696471e-01,3.816105180687713316e-01
7.000602036108115600e-01,2.860074053421689522e-01
5.728213455863506720e-01,7.808373179418274246e-01
7.079880908870084255e-01,6.677103692223296250e-01
4.695683878464896321e-01,2.906699340362869366e-01
4.894414854852175423e-01,5.842019471163856226e-01
4.784692456753111833e-01,-2.004440185902578719e-01
9.004696479358943739e-02,9.192066660638119335e-02
1.281048475712086576e-01,6.423700939805879195e-02
9.266800058456230171e-02,9.766362819554183505e-02
4.511341337570365373e-01,3.883573630174526614e-01
3.408395325865894443e-01,5.880459658838261827e-01
6.142024881619815302e-01,4.145921361607103894e-01
8.897657124651612293e-01,6.955426556333699217e-01
8.999616582113266761e-01,4.206160236785317363e-01
7.510746642658249206e-01,6.544934931558455959e-01
3.483945364749219120e-02,9.226262646045841898e-01
3.800841753336221540e-01,6.287864323418584922e-01
3.682975170299191969e-01,3.656602635102219612e-01
1.050004372169959233e-01,1.437717378675575919e-01
5.836437747728926428e-01,7.405108993708201526e-01
6.841608845051371235e-01,2.056156184357463834e-01
6.622717031751056416e-01,6.517280834146849111e-01
